ts,temperature_c,precipitation_mm,windspeed_kmh
2026-02-08 19:00:00,-17.1,0.0,7.7
2026-02-08 20:00:00,-17.2,0.0,3.1
2026-02-08 21:00:00,-16.9,0.0,5.1
2026-02-08 22:00:00,-19.6,0.0,7.1
2026-02-08 23:00:00,-20.1,0.0,8.5
2026-02-09 00:00:00,-19.2,0.0,8.2
2026-02-09 01:00:00,-19.3,0.0,7.0
2026-02-09 02:00:00,-20.0,0.0,4.8
2026-02-09 03:00:00,-20.0,0.0,5.9
2026-02-09 04:00:00,-20.5,0.0,6.5
2026-02-09 05:00:00,-20.6,0.0,8.8
2026-02-09 06:00:00,-19.4,0.0,6.3
2026-02-09 07:00:00,-19.4,0.0,5.4
2026-02-09 08:00:00,-18.5,0.0,5.4
2026-02-09 09:00:00,-15.3,0.0,6.9
2026-02-09 10:00:00,-12.6,0.0,4.8
2026-02-09 11:00:00,-10.8,0.0,7.4
2026-02-09 12:00:00,-9.8,0.0,5.9
2026-02-09 13:00:00,-8.4,0.0,8.6
2026-02-09 14:00:00,-7.9,0.0,6.6
2026-02-09 15:00:00,-7.5,0.0,4.3
2026-02-09 16:00:00,-7.4,0.0,4.4
2026-02-09 17:00:00,-7.2,0.0,4.2
2026-02-09 18:00:00,-8.4,0.0,3.2
2026-02-09 19:00:00,-8.1,0.0,4.5
2026-02-09 20:00:00,-6.4,0.0,6.6
2026-02-09 21:00:00,-6.6,0.0,7.9
2026-02-09 22:00:00,-7.0,0.0,7.5
2026-02-09 23:00:00,-6.8,0.0,2.5
2026-02-10 00:00:00,-7.3,0.0,5.8
2026-02-10 01:00:00,-8.3,0.0,7.2
2026-02-10 02:00:00,-7.3,0.0,9.0
2026-02-10 03:00:00,-6.4,0.0,6.7
2026-02-10 04:00:00,-5.3,0.2,8.4
2026-02-10 05:00:00,-4.5,1.0,5.9
2026-02-10 06:00:00,-4.0,1.2,8.0
2026-02-10 07:00:00,-3.6,1.0,10.9
2026-02-10 08:00:00,-2.9,1.0,10.5
2026-02-10 09:00:00,-2.3,0.0,12.7
2026-02-10 10:00:00,-1.3,0.0,13.4
2026-02-10 11:00:00,-0.7,0.0,12.4
2026-02-10 12:00:00,-0.1,0.0,9.4
2026-02-10 13:00:00,0.6,0.0,14.4
2026-02-10 14:00:00,1.2,0.0,1.5
2026-02-10 15:00:00,1.3,0.1,0.8
2026-02-10 16:00:00,1.2,0.1,3.2
2026-02-10 17:00:00,0.5,0.0,3.9
2026-02-10 18:00:00,-1.1,0.0,6.8
2026-02-10 19:00:00,0.2,0.0,9.7
2026-02-10 20:00:00,-0.1,0.0,9.9
2026-02-10 21:00:00,0.1,0.0,10.4
2026-02-10 22:00:00,-0.4,0.0,9.2
2026-02-10 23:00:00,0.4,0.0,12.4
2026-02-11 00:00:00,0.2,0.0,13.4
2026-02-11 01:00:00,-0.3,0.0,12.8
2026-02-11 02:00:00,-0.3,0.0,11.8
2026-02-11 03:00:00,-0.3,0.0,11.8
2026-02-11 04:00:00,-0.4,0.0,16.6
2026-02-11 05:00:00,-1.6,0.0,15.1
2026-02-11 06:00:00,-1.7,0.0,16.2
2026-02-11 07:00:00,-1.6,0.0,17.2
2026-02-11 08:00:00,-2.0,0.0,18.8
2026-02-11 09:00:00,-1.1,0.0,18.1
2026-02-11 10:00:00,-0.4,0.0,20.7
2026-02-11 11:00:00,0.3,0.0,21.8
2026-02-11 12:00:00,0.2,0.0,23.4
2026-02-11 13:00:00,0.2,0.0,23.9
2026-02-11 14:00:00,-0.1,0.0,22.0
2026-02-11 15:00:00,0.6,0.0,20.9
2026-02-11 16:00:00,-0.2,0.0,22.4
2026-02-11 17:00:00,-1.5,0.0,20.6
2026-02-11 18:00:00,-2.8,0.0,15.2
2026-02-11 19:00:00,-3.3,0.0,15.2
2026-02-11 20:00:00,-2.8,0.0,17.4
2026-02-11 21:00:00,-3.3,0.0,10.7
2026-02-11 22:00:00,-4.2,0.0,11.3
2026-02-11 23:00:00,-4.5,0.0,12.9
2026-02-12 00:00:00,-5.2,0.0,7.6
2026-02-12 01:00:00,-6.0,0.0,12.0
2026-02-12 02:00:00,-7.0,0.0,9.4
2026-02-12 03:00:00,-8.0,0.0,10.2
2026-02-12 04:00:00,-8.4,0.0,9.7
2026-02-12 05:00:00,-8.8,0.0,9.8
2026-02-12 06:00:00,-9.2,0.0,9.5
2026-02-12 07:00:00,-8.8,0.0,10.0
2026-02-12 08:00:00,-7.6,0.0,9.7
2026-02-12 09:00:00,-6.8,0.1,12.7
2026-02-12 10:00:00,-5.6,0.0,14.5
2026-02-12 11:00:00,-4.3,0.0,15.5
2026-02-12 12:00:00,-4.0,0.0,13.8
2026-02-12 13:00:00,-3.5,0.0,12.2
2026-02-12 14:00:00,-3.1,0.0,13.3
2026-02-12 15:00:00,-2.6,0.0,12.3
2026-02-12 16:00:00,-3.1,0.0,11.7
2026-02-12 17:00:00,-4.5,0.0,11.8
2026-02-12 18:00:00,-6.1,0.0,12.1
2026-02-12 19:00:00,-7.3,0.0,13.4
2026-02-12 20:00:00,-9.2,0.0,9.7
2026-02-12 21:00:00,-10.3,0.0,10.7
2026-02-12 22:00:00,-11.0,0.0,11.5
2026-02-12 23:00:00,-12.1,0.0,7.1
2026-02-13 00:00:00,-13.2,0.0,5.7
2026-02-13 01:00:00,-13.6,0.0,6.9
2026-02-13 02:00:00,-14.1,0.0,6.6
2026-02-13 03:00:00,-13.3,0.0,7.4
2026-02-13 04:00:00,-12.3,0.0,6.1
2026-02-13 05:00:00,-11.8,0.0,4.6
2026-02-13 06:00:00,-13.3,0.0,3.8
2026-02-13 07:00:00,-12.7,0.0,3.4
2026-02-13 08:00:00,-12.6,0.0,5.2
2026-02-13 09:00:00,-8.4,0.0,10.1
2026-02-13 10:00:00,-5.7,0.0,11.5
2026-02-13 11:00:00,-3.8,0.0,11.3
2026-02-13 12:00:00,-2.7,0.0,14.6
2026-02-13 13:00:00,-2.0,0.0,15.5
2026-02-13 14:00:00,-1.4,0.0,15.6
2026-02-13 15:00:00,-1.3,0.0,18.3
2026-02-13 16:00:00,-1.1,0.0,14.7
2026-02-13 17:00:00,-1.5,0.0,12.9
2026-02-13 18:00:00,-1.7,0.0,13.6
2026-02-13 19:00:00,-1.2,0.0,16.6
2026-02-13 20:00:00,-2.2,0.3,22.7
2026-02-13 21:00:00,-2.0,0.6,16.4
2026-02-13 22:00:00,-1.4,0.0,13.1
2026-02-13 23:00:00,-1.1,0.0,13.0
2026-02-14 00:00:00,-1.7,0.0,8.7
2026-02-14 01:00:00,-3.3,0.0,7.3
2026-02-14 02:00:00,-3.9,0.0,5.9
2026-02-14 03:00:00,-4.3,0.0,9.0
2026-02-14 04:00:00,-3.1,0.0,7.6
2026-02-14 05:00:00,-3.8,0.0,8.4
2026-02-14 06:00:00,-3.3,0.0,9.4
2026-02-14 07:00:00,-1.3,0.0,7.7
2026-02-14 08:00:00,-0.7,0.0,6.1
2026-02-14 09:00:00,0.2,0.0,5.1
2026-02-14 10:00:00,1.8,0.0,8.0
2026-02-14 11:00:00,2.2,0.0,10.6
2026-02-14 12:00:00,2.4,0.0,11.1
2026-02-14 13:00:00,2.4,0.0,9.7
2026-02-14 14:00:00,2.4,0.0,8.1
2026-02-14 15:00:00,2.6,0.0,5.5
2026-02-14 16:00:00,2.0,0.0,2.9
2026-02-14 17:00:00,0.8,0.0,7.6
2026-02-14 18:00:00,0.6,0.0,6.1
2026-02-14 19:00:00,0.1,0.0,4.5
2026-02-14 20:00:00,-0.5,0.0,5.4
2026-02-14 21:00:00,-0.6,0.0,5.8
2026-02-14 22:00:00,-1.2,0.0,5.4
2026-02-14 23:00:00,-1.3,0.0,8.6
2026-02-15 00:00:00,-2.8,0.0,5.4
2026-02-15 01:00:00,-3.4,0.0,6.2
2026-02-15 02:00:00,-4.3,0.0,6.3
2026-02-15 03:00:00,-4.8,0.0,8.5
2026-02-15 04:00:00,-5.1,0.0,8.9
2026-02-15 05:00:00,-3.6,0.0,7.2
2026-02-15 06:00:00,-2.5,0.0,6.6
2026-02-15 07:00:00,-1.8,0.0,7.6
2026-02-15 08:00:00,-1.1,0.0,9.4
2026-02-15 09:00:00,-0.3,0.0,12.0
2026-02-15 10:00:00,-0.5,0.0,13.0
2026-02-15 11:00:00,-0.2,0.0,12.6
2026-02-15 12:00:00,-0.1,0.0,13.2
2026-02-15 13:00:00,-0.3,0.0,14.3
2026-02-15 14:00:00,-0.1,0.0,15.7
2026-02-15 15:00:00,-0.1,0.0,16.3
2026-02-15 16:00:00,-0.1,0.0,16.4
2026-02-15 17:00:00,-0.4,0.0,14.9
2026-02-15 18:00:00,-0.6,0.0,13.8
2026-02-15 19:00:00,-0.5,0.0,16.5
2026-02-15 20:00:00,-0.3,0.0,15.7
2026-02-15 21:00:00,-0.2,0.0,16.0
2026-02-15 22:00:00,-0.2,0.0,14.0
2026-02-15 23:00:00,-0.5,0.0,14.1
2026-02-16 00:00:00,-0.9,0.0,12.6
2026-02-16 01:00:00,-1.0,0.0,10.1
2026-02-16 02:00:00,-1.4,0.0,8.1
2026-02-16 03:00:00,-1.5,0.0,4.6
2026-02-16 04:00:00,-1.5,0.0,5.2
2026-02-16 05:00:00,-1.4,0.0,1.4
2026-02-16 06:00:00,-1.3,0.0,0.4
2026-02-16 07:00:00,-1.2,0.0,0.8
2026-02-16 08:00:00,-0.9,0.0,1.8
2026-02-16 09:00:00,-0.5,0.0,3.1
2026-02-16 10:00:00,-0.1,0.0,5.2
2026-02-16 11:00:00,0.2,0.0,6.5
2026-02-16 12:00:00,0.5,0.0,7.6
2026-02-16 13:00:00,0.9,0.0,7.6
2026-02-16 14:00:00,1.3,0.0,6.7
2026-02-16 15:00:00,1.2,0.0,6.1
2026-02-16 16:00:00,1.3,0.0,8.0
2026-02-16 17:00:00,1.4,0.0,10.4
2026-02-16 18:00:00,1.4,0.0,15.6
2026-02-16 19:00:00,1.1,0.0,15.6
2026-02-16 20:00:00,0.8,0.0,16.6
2026-02-16 21:00:00,0.7,0.0,10.3
2026-02-16 22:00:00,0.2,0.9,8.8
2026-02-16 23:00:00,1.4,0.4,10.1
2026-02-17 00:00:00,0.7,0.4,11.5
2026-02-17 01:00:00,1.0,0.2,10.8
2026-02-17 02:00:00,1.0,0.0,7.3
2026-02-17 03:00:00,1.0,0.0,8.2
2026-02-17 04:00:00,1.0,0.0,8.6
2026-02-17 05:00:00,1.1,0.0,9.4
2026-02-17 06:00:00,1.3,0.0,8.0
2026-02-17 07:00:00,1.3,0.0,8.5
2026-02-17 08:00:00,1.3,0.1,7.4
2026-02-17 09:00:00,1.3,0.0,6.6
2026-02-17 10:00:00,1.5,0.0,7.8
2026-02-17 11:00:00,2.2,0.0,11.5
2026-02-17 12:00:00,1.7,0.0,13.8
2026-02-17 13:00:00,2.0,0.0,13.0
2026-02-17 14:00:00,2.4,0.0,14.8
2026-02-17 15:00:00,2.6,0.0,13.2
2026-02-17 16:00:00,2.1,0.0,8.8
2026-02-17 17:00:00,1.1,0.0,7.1
2026-02-17 18:00:00,-0.1,0.0,6.6
2026-02-17 19:00:00,-0.7,0.0,7.6
2026-02-17 20:00:00,-0.9,0.0,4.8
2026-02-17 21:00:00,-1.1,0.0,9.1
2026-02-17 22:00:00,-1.4,0.0,10.2
2026-02-17 23:00:00,-1.4,0.0,10.0
2026-02-18 00:00:00,-1.0,0.0,6.3
2026-02-18 01:00:00,-0.2,0.0,13.0
2026-02-18 02:00:00,-0.0,0.0,12.7
2026-02-18 03:00:00,-0.1,0.0,11.6
2026-02-18 04:00:00,-0.1,0.0,15.9
2026-02-18 05:00:00,-0.1,0.0,21.6
2026-02-18 06:00:00,-0.8,0.0,22.9
2026-02-18 07:00:00,-0.8,0.0,26.9
2026-02-18 08:00:00,-1.1,0.0,29.2
2026-02-18 09:00:00,-0.9,0.1,30.2
2026-02-18 10:00:00,-1.0,0.3,33.1
2026-02-18 11:00:00,-1.1,0.7,35.7
2026-02-18 12:00:00,-1.4,1.2,37.8
2026-02-18 13:00:00,-1.5,1.4,40.4
2026-02-18 14:00:00,-1.7,2.4,44.8
2026-02-18 15:00:00,-1.3,2.6,41.8
2026-02-18 16:00:00,-0.4,3.9,39.5
2026-02-18 17:00:00,0.1,2.2,39.9
2026-02-18 18:00:00,0.5,0.5,36.8
2026-02-18 19:00:00,0.8,0.1,30.5
2026-02-18 20:00:00,1.1,0.0,25.8
2026-02-18 21:00:00,1.3,0.0,19.5
2026-02-18 22:00:00,1.3,0.0,14.8
2026-02-18 23:00:00,1.2,0.0,11.1
2026-02-19 00:00:00,1.0,0.0,11.0
2026-02-19 01:00:00,1.0,0.0,9.0
2026-02-19 02:00:00,0.6,0.0,4.8
2026-02-19 03:00:00,0.1,0.0,1.8
2026-02-19 04:00:00,-0.1,0.0,5.2
2026-02-19 05:00:00,0.2,0.0,7.4
2026-02-19 06:00:00,0.7,0.0,8.7
2026-02-19 07:00:00,1.2,0.0,8.9
2026-02-19 08:00:00,1.3,0.0,8.2
2026-02-19 09:00:00,1.4,0.0,6.6
2026-02-19 10:00:00,1.4,0.0,5.1
2026-02-19 11:00:00,1.5,0.0,3.2
2026-02-19 12:00:00,1.7,0.0,1.9
2026-02-19 13:00:00,1.8,0.0,2.4
2026-02-19 14:00:00,1.9,0.0,2.6
2026-02-19 15:00:00,1.9,0.0,2.3
2026-02-19 16:00:00,1.9,0.0,1.8
2026-02-19 17:00:00,1.6,0.0,2.1
2026-02-19 18:00:00,1.2,0.0,5.2
2026-02-19 19:00:00,1.0,0.0,7.4
2026-02-19 20:00:00,0.9,0.0,7.6
2026-02-19 21:00:00,0.9,0.0,6.9
2026-02-19 22:00:00,1.0,0.0,6.4
2026-02-19 23:00:00,1.2,0.0,7.0
2026-02-20 00:00:00,1.4,0.0,8.1
2026-02-20 01:00:00,1.6,0.0,9.0
2026-02-20 02:00:00,1.6,0.0,10.1
2026-02-20 03:00:00,1.6,0.0,10.9
2026-02-20 04:00:00,1.6,0.0,11.1
2026-02-20 05:00:00,1.4,0.0,9.8
2026-02-20 06:00:00,1.2,0.0,8.2
2026-02-20 07:00:00,1.1,0.0,7.0
2026-02-20 08:00:00,1.1,0.0,6.4
2026-02-20 09:00:00,1.2,0.0,6.8
2026-02-20 10:00:00,1.3,0.0,8.3
2026-02-20 11:00:00,1.2,0.0,10.1
2026-02-20 12:00:00,1.2,0.0,12.2
2026-02-20 13:00:00,1.1,0.0,13.3
2026-02-20 14:00:00,0.9,0.0,13.3
2026-02-20 15:00:00,0.8,0.0,13.0
2026-02-20 16:00:00,0.6,0.0,12.1
2026-02-20 17:00:00,0.4,0.0,10.9
2026-02-20 18:00:00,0.2,0.0,9.7
2026-02-20 19:00:00,0.0,0.0,8.5
2026-02-20 20:00:00,0.0,0.1,7.7
2026-02-20 21:00:00,0.1,0.1,7.1
2026-02-20 22:00:00,-0.1,0.1,6.1
2026-02-20 23:00:00,-0.7,0.2,8.3
